time;open;high;low;close
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
24/01/2014;8140;8350;7930;8060
27/01/2014;8010;8060;7760;7880
06/02/2014;7800;7840;7540;7540
07/02/2014;7460;7500;7070;7110
10/02/2014;7070;7370;6940;7280
11/02/2014;7370;7370;7240;7240
12/02/2014;7200;7240;7160;7200
13/02/2014;7200;7240;7110;7110
14/02/2014;7200;7280;7110;7200
17/02/2014;7240;7240;7110;7160
18/02/2014;7160;7160;7110;7110
19/02/2014;7160;7200;7070;7110
20/02/2014;7160;7370;7110;7240
21/02/2014;7200;7200;7160;7160
24/02/2014;7200;7200;7110;7160
25/02/2014;7110;7160;7070;7160
26/02/2014;7160;7240;7110;7160
27/02/2014;7160;7460;7160;7240
28/02/2014;7200;7280;7200;7280
03/03/2014;7240;7280;7160;7160
04/03/2014;7110;7160;7070;7110
05/03/2014;7160;7200;7110;7110
06/03/2014;7110;7160;7070;7110
07/03/2014;7110;7160;7110;7110
10/03/2014;7110;7200;7110;7160
11/03/2014;7110;7160;7110;7110
12/03/2014;7110;7160;7070;7070
13/03/2014;7110;7110;7030;7070
14/03/2014;7110;7160;7030;7110
17/03/2014;7110;7160;7070;7110
18/03/2014;7110;7240;7070;7200
19/03/2014;7240;7460;7240;7460
20/03/2014;7500;7710;7500;7580
21/03/2014;7500;7630;7500;7500
24/03/2014;7580;7710;7540;7540
25/03/2014;7580;7580;7370;7370
26/03/2014;7410;7410;7160;7200
27/03/2014;7240;7240;7160;7200
28/03/2014;7200;7280;7200;7280
31/03/2014;7330;7330;7200;7200
01/04/2014;7240;7240;7110;7160
02/04/2014;7160;7200;7070;7160
03/04/2014;7160;7240;7110;7200
04/04/2014;7240;7240;7160;7240
07/04/2014;7200;7240;7160;7200
08/04/2014;7200;7240;7160;7160
10/04/2014;7160;7200;7160;7160
11/04/2014;7110;7160;7070;7110
14/04/2014;7160;7200;7110;7160
15/04/2014;7110;7160;7070;7070
16/04/2014;7070;7070;6770;6860
17/04/2014;6860;7030;6860;6900
18/04/2014;6900;6940;6810;6810
21/04/2014;6810;6810;6600;6640
22/04/2014;6600;6770;6560;6770
23/04/2014;6810;6810;6680;6770
24/04/2014;6730;6810;6730;6810
25/04/2014;6730;6860;6730;6730
28/04/2014;6730;6770;6680;6730
29/04/2014;6730;6770;6730;6770
05/05/2014;6810;6810;6640;6680
06/05/2014;6640;6680;6470;6510
07/05/2014;6510;6680;6510;6640
08/05/2014;6560;6560;6210;6260
09/05/2014;6170;6340;6170;6340
12/05/2014;6300;6300;5910;6000
13/05/2014;5780;6080;5780;6040
14/05/2014;6000;6340;6000;6300
15/05/2014;6340;6340;5960;6080
16/05/2014;6080;6260;6040;6260
19/05/2014;6170;6300;6170;6210
20/05/2014;6210;6300;6170;6300
21/05/2014;6260;6430;6170;6380
22/05/2014;6380;6380;6260;6260
23/05/2014;6300;6300;6210;6300
26/05/2014;6210;6300;6210;6260
27/05/2014;6260;6430;6260;6430
28/05/2014;6430;6430;6340;6380
29/05/2014;6340;6430;6340;6380
30/05/2014;6340;6380;6300;6340
02/06/2014;6340;6340;6210;6260
03/06/2014;6210;6300;6210;6210
04/06/2014;6210;6260;6130;6210
05/06/2014;6210;6210;6130;6210
06/06/2014;6170;6260;6170;6260
09/06/2014;6260;6300;6170;6210
10/06/2014;6210;6340;6170;6300
11/06/2014;6300;6300;6210;6300
12/06/2014;6300;6380;6300;6380
13/06/2014;6340;6430;6300;6380
16/06/2014;6380;6430;6340;6380
17/06/2014;6380;6430;6340;6380
18/06/2014;6380;6430;6340;6380
19/06/2014;6340;6380;6260;6380
20/06/2014;6340;6380;6300;6300
23/06/2014;6300;6380;6300;6380
24/06/2014;6340;6430;6340;6430
25/06/2014;6380;6430;6340;6430
26/06/2014;6380;6560;6340;6470
27/06/2014;6430;6510;6430;6510
30/06/2014;6510;6510;6430;6510
01/07/2014;6470;6470;6430;6470
02/07/2014;6470;6560;6430;6510
03/07/2014;6510;6560;6470;6510
04/07/2014;6510;6510;6470;6510
07/07/2014;6470;6510;6430;6430
08/07/2014;6430;6470;6340;6340
09/07/2014;6380;6470;6340;6430
10/07/2014;6430;6430;6340;6340
11/07/2014;6380;6380;6340;6380
14/07/2014;6340;6380;6300;6340
15/07/2014;6340;6380;6300;6380
16/07/2014;6430;6430;6380;6380
17/07/2014;6380;6430;6340;6380
18/07/2014;6430;6430;6380;6430
21/07/2014;6380;6430;6340;6380
22/07/2014;6340;6380;6300;6340
23/07/2014;6380;6380;6300;6300
24/07/2014;6300;6380;6300;6340
25/07/2014;6340;6730;6340;6560
28/07/2014;6560;6600;6470;6560
29/07/2014;6600;6600;6470;6470
30/07/2014;6470;6600;6430;6510
31/07/2014;6510;6560;6470;6510
01/08/2014;6510;6600;6510;6560
04/08/2014;6560;6770;6560;6730
05/08/2014;6730;6770;6680;6730
06/08/2014;6730;6730;6640;6680
07/08/2014;6640;6730;6640;6680
